trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,key_resp_rating.started,rating_fixation.started,rating.stopped,key_resp_rating.keys,key_resp_rating.rt,key_resp_rating.duration,washout.started,fixation.started,fixation.stopped,washout.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.023877000028733164,0.036922200000844896,0.036922200000844896,0.9104526999872178,t,0.869663399993442,None,,,,,,,,,,,,,,,,,,,,304990,999,999,2025-01-07_10h34.25.561,video_presentation,2023.2.3,144.1749014051632,2025-01-07 10h34.31.594093 -0500,
0,0,0,0,11.345612599980086,,,,,,,,,0.910497100034263,0.9160519000142813,10.91133750003064,10.91263680002885,11.345612599980086,11.345612599980086,13.913544700015336,None,13.919129699992482,13.923257699992973,13.923257699992973,16.33903040003497,5,2.411400799988769,None,16.34097429999383,16.3454475000035,17.56519870000193,17.339420300035272,304990,999,999,2025-01-07_10h34.25.561,video_presentation,2023.2.3,144.1749014051632,2025-01-07 10h34.31.594093 -0500,
1,0,1,0,17.56519870000193,,,,,,,,,,,,17.34024769999087,17.56519870000193,17.56519870000193,20.341302399989218,None,20.343981500016525,20.3482657999848,20.3482657999848,21.6619720000308,2,1.3060797000071034,None,21.66303420002805,21.66740249999566,22.91988380003022,22.6615288000321,304990,999,999,2025-01-07_10h34.25.561,video_presentation,2023.2.3,144.1749014051632,2025-01-07 10h34.31.594093 -0500,
2,0,2,0,22.91988380003022,,,,,,,,,,,,22.66240889998153,22.91988380003022,22.91988380003022,25.668072999978904,None,25.67087969998829,25.67479399999138,25.67479399999138,26.648640999977943,4,0.9714914000360295,None,26.649788999988232,26.654083300032653,,27.651864200015552,304990,999,999,2025-01-07_10h34.25.561,video_presentation,2023.2.3,144.1749014051632,2025-01-07 10h34.31.594093 -0500,
3,0,3,0,27.87796300003538,,,,,,,,,,,,27.652750400011428,27.87796300003538,27.87796300003538,30.657645800034516,None,30.660788299981505,30.67164660000708,30.67164660000708,31.24289080000017,1,0.5695278000202961,None,31.24418949999381,31.247952100005932,32.490065600024536,32.24157539999578,304990,999,999,2025-01-07_10h34.25.561,video_presentation,2023.2.3,144.1749014051632,2025-01-07 10h34.31.594093 -0500,
4,0,4,0,32.490065600024536,,,,,,,,,,,,32.24238090001745,32.490065600024536,32.490065600024536,35.24611230002483,None,35.24968160002027,35.25395909999497,35.25395909999497,35.886780600005295,3,0.6253870000364259,None,35.88782100001117,35.89240020001307,37.09014990000287,36.88654109998606,304990,999,999,2025-01-07_10h34.25.561,video_presentation,2023.2.3,144.1749014051632,2025-01-07 10h34.31.594093 -0500,
,,,,37.09014990000287,,,,,,,,,,,,36.88731560000451,37.09014990000287,37.09014990000287,,,,,,,,,,,,,,,,,,,,,,
