trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation.started,rating.stopped,washout.started,fixation.started,fixation.stopped,washout.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.023598599946126342,0.02931350003927946,0.02931350003927946,1.5146347000263631,5,1.4822559000458568,None,,,,,,,,,,,,,,,,188364,999,999,2025-01-10_16h41.16.805,video_presentation,2023.2.3,144.15120898324417,2025-01-10 16h41.22.461856 -0500,
0,0,0,0,12.452471500029787,,,,,,,,,1.5146687000524253,1.520766400033608,11.515328599954955,11.516531400033273,12.452471500029787,12.452471500029787,14.519144700025208,None,14.541132900048979,14.548572600004263,15.693013999960385,15.693028899957426,15.698681600042619,16.86310900002718,16.692496999981813,188364,999,999,2025-01-10_16h41.16.805,video_presentation,2023.2.3,144.15120898324417,2025-01-10 16h41.22.461856 -0500,
1,0,1,0,16.86310900002718,,,,,,,,,,,,16.69353519997094,16.86310900002718,16.86310900002718,19.693846600013785,None,19.696161399944685,19.700656699948013,20.173680700012483,20.173699700040743,20.179997300030664,21.34413870004937,21.173538299975917,188364,999,999,2025-01-10_16h41.16.805,video_presentation,2023.2.3,144.15120898324417,2025-01-10 16h41.22.461856 -0500,
,,,,21.34413870004937,,,,,,,,,,,,21.174717399990186,21.34413870004937,21.34413870004937,,,,,,,,,,,,,,,,,,
