trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation.started,rating.stopped,washout.started,fixation.started,fixation.stopped,washout.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.024740700027905405,0.03807399998186156,0.03807399998186156,0.4252400000113994,t,0.3819239999866113,None,,,,,,,,,,,,,,,,180640,999,999,2025-01-07_10h41.29.386,video_presentation,2023.2.3,143.70087234186786,2025-01-07 10h41.36.108461 -0500,
0,0,0,0,10.809668899979442,,,,,,,,,0.42527599999448285,0.43092600000090897,10.426043000014033,10.427860299998429,10.809668899979442,10.809668899979442,13.425506800005678,None,13.430893299984746,13.434493399981875,19.38127140002325,19.381294800026808,19.386256200028583,20.616849899990484,20.38030710001476,180640,999,999,2025-01-07_10h41.29.386,video_presentation,2023.2.3,143.70087234186786,2025-01-07 10h41.36.108461 -0500,
1,0,1,0,20.616849899990484,,,,,,,,,,,,20.381099399994127,20.616849899990484,20.616849899990484,23.388317100005224,None,23.390909900015686,23.3947596999933,28.104990900028497,28.105008899990935,28.11070880002808,29.307350800023414,29.104544900008477,180640,999,999,2025-01-07_10h41.29.386,video_presentation,2023.2.3,143.70087234186786,2025-01-07 10h41.36.108461 -0500,
2,0,2,0,29.307350800023414,,,,,,,,,,,,29.105325800017454,29.307350800023414,29.307350800023414,32.11107109999284,None,32.1144198999973,32.11790499999188,49.19063309999183,49.19065150001552,49.19655970000895,50.42657439998584,50.190287499979604,180640,999,999,2025-01-07_10h41.29.386,video_presentation,2023.2.3,143.70087234186786,2025-01-07 10h41.36.108461 -0500,
3,0,3,0,50.42657439998584,,,,,,,,,,,,50.19120459997794,50.42657439998584,50.42657439998584,53.19596659997478,None,53.19908250001026,53.2028879999998,54.912746599991806,54.912764800013974,54.91837219998706,56.148710699984804,55.91237939998973,180640,999,999,2025-01-07_10h41.29.386,video_presentation,2023.2.3,143.70087234186786,2025-01-07 10h41.36.108461 -0500,
4,0,4,0,56.148710699984804,,,,,,,,,,,,55.91314359998796,56.148710699984804,56.148710699984804,58.919547000026796,None,58.923014600004535,58.92686780000804,60.407862499996554,60.40788110002177,60.41332380002132,61.63209909998113,61.407013799995184,180640,999,999,2025-01-07_10h41.29.386,video_presentation,2023.2.3,143.70087234186786,2025-01-07 10h41.36.108461 -0500,
,,,,61.63209909998113,,,,,,,,,,,,61.40778990002582,61.63209909998113,61.63209909998113,64.40801509999437,None,64.41081570001552,64.41452470002696,,,,,,,,,,,,,,
