trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation.started,rating.stopped,washout.started,fixation.started,fixation.stopped,washout.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.024044299963861704,0.030162799987010658,0.030162799987010658,1.3969771999982186,t,1.3630200999905355,None,,,,,,,,,,,,,,,,467552,999,999,2025-01-07_10h38.34.097,video_presentation,2023.2.3,143.72483020869296,2025-01-07 10h38.39.578163 -0500,
0,0,0,0,11.887375699996483,,,,,,,,,1.3970146999927238,1.4026335999951698,11.397689899953548,11.398985999985598,11.887375699996483,11.887375699996483,14.404380999971181,None,14.410080699948594,14.413718899944797,21.486565699975472,21.486584300000686,21.491929399955552,22.754840399953537,22.485867999959737,467552,999,999,2025-01-07_10h38.34.097,video_presentation,2023.2.3,143.72483020869296,2025-01-07 10h38.39.578163 -0500,
,,,,22.754840399953537,,,,,,,,,,,,22.48708179994719,22.754840399953537,22.754840399953537,,,,,,,,,,,,,,,,,,
