trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,instruction_image.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation_cross.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation_square.started,rating.stopped,washout.started,washout_fixation_cross.started,washout.stopped,washout_fixation_cross.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002801300000101037,0.015210300000035204,0.015210300000035204,0.015210300000035204,14.632850100000269,5,14.616579499999716,None,,,,,,,,,,,,,,,,074196,999,999,2025-01-13_12h27.14.988,video_presentation,2023.2.3,143.85011968288296,2025-01-13 12h27.20.019412 -0500,
0,0,0,0,25.564807600000222,,,,,,,,,,14.632887900000242,14.639136300000246,24.633624900000086,24.634505400000307,25.564807600000222,25.564807600000222,27.638671500000328,None,27.63945330000024,27.645301000000018,29.702154300000075,29.70216870000013,29.730148999999983,30.706436700000268,,074196,999,999,2025-01-13_12h27.14.988,video_presentation,2023.2.3,143.85011968288296,2025-01-13 12h27.20.019412 -0500,
1,0,1,0,30.89035899999999,,,,,,,,,,,,,30.706932699999925,30.89035899999999,30.89035899999999,33.71123680000028,None,33.71213590000025,33.722028500000306,35.056353500000114,35.05636730000015,35.06190170000036,36.059223400000064,,074196,999,999,2025-01-13_12h27.14.988,video_presentation,2023.2.3,143.85011968288296,2025-01-13 12h27.20.019412 -0500,
2,0,2,0,36.231234400000176,,,,,,,,,,,,,36.05985929999997,36.231234400000176,36.231234400000176,39.06226390000029,None,39.06283650000023,39.069134400000166,39.96617689999994,39.96619129999999,39.971940899999936,40.96566930000017,41.128705900000114,074196,999,999,2025-01-13_12h27.14.988,video_presentation,2023.2.3,143.85011968288296,2025-01-13 12h27.20.019412 -0500,
3,0,3,0,41.128705900000114,,,,,,,,,,,,,40.96638810000013,41.128705900000114,41.128705900000114,43.96675430000005,None,43.967384700000366,43.973517000000356,45.66919989999997,45.66921339999999,45.67478370000026,46.668643500000144,46.83893060000037,074196,999,999,2025-01-13_12h27.14.988,video_presentation,2023.2.3,143.85011968288296,2025-01-13 12h27.20.019412 -0500,
4,0,4,0,46.83893060000037,,,,,,,,,,,,,46.66935430000012,46.83893060000037,46.83893060000037,49.67030999999997,None,49.67076450000013,49.67717760000005,51.10190210000019,51.101925400000255,51.10751140000002,52.10142059999998,52.27317170000015,074196,999,999,2025-01-13_12h27.14.988,video_presentation,2023.2.3,143.85011968288296,2025-01-13 12h27.20.019412 -0500,
,,,,52.27317170000015,,,,,,,,,,,,,52.101854300000014,52.27317170000015,52.27317170000015,,,,,,,,,,,,,,,,,,
