trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,instruction_image.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation_cross.started,dummy.stopped,trial.started,movie.started,trial.stopped,rating.started,rating_fixation_square.started,rating.stopped,washout.started,washout_fixation_cross.started,washout.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.017258599999877333,0.028581999999914842,0.028581999999914842,0.028581999999914842,0.3072802000001502,5,0.2717597000000751,None,,,,,,,,,,,,,981336,999,999,2025-01-13_12h37.40.279,video_presentation,2023.2.3,143.6930257152844,2025-01-13 12h38.42.816612 -0500,
0,0,0,0,10.621034100000088,,,,,,,,,,0.3073358999999982,0.31334860000015397,10.307768500000293,10.308798999999908,10.621034100000088,13.312795800000004,13.31309360000023,13.32057070000019,14.120349400000123,14.12036850000004,14.127549400000134,15.12093589999995,981336,999,999,2025-01-13_12h37.40.279,video_presentation,2023.2.3,143.6930257152844,2025-01-13 12h38.42.816612 -0500,
,,,,15.292017100000066,,,,,,,,,,,,,15.121748099999877,15.292017100000066,18.122623400000066,18.122864200000095,18.12959060000003,18.54045640000004,18.540470200000073,18.546080500000244,,,,,,,,,,
