trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,key_resp_rating.started,rating_fixation.started,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.024430600053165108,0.03759180003544316,0.03759180003544316,1.133448500011582,t,1.0942905000410974,None,,,,,,,,,,,,897352,999,999,2025-01-07_10h31.21.202,video_presentation,2023.2.3,143.9287955536588,2025-01-07 10h31.26.944671 -0500,
,,,,11.567733300034888,,,,,,,,,1.1334872000152245,1.1394819000270218,11.134202900051605,11.135488500003703,11.567733300034888,11.567733300034888,14.135648600000422,None,14.151267300010659,,,,,,,,,,,
