trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation_cross.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation_square.started,rating.stopped,washout.started,washout_fixation_cross.started,washout.stopped,washout_fixation_cross.stopped,end.started,end_text.started,end.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0236596999457106,0.030056699994020164,0.030056699994020164,1.1471845998894423,5,1.1159291999647394,None,,,,,,,,,,,,,,,,,,,903082,999,999,2025-01-10_17h01.24.894,video_presentation,2023.2.3,143.89048215355726,2025-01-10 17h01.29.170553 -0500,
0,0,0,0,11.45326939993538,,,,,,,,,1.1472298000007868,1.152742899954319,11.147494399920106,11.148371699964628,11.45326939993538,11.45326939993538,14.152252599946223,None,14.152884599985555,14.15908919996582,14.694950899924152,14.69497179996688,14.702162599889562,15.695599799975753,,,,,903082,999,999,2025-01-10_17h01.24.894,video_presentation,2023.2.3,143.89048215355726,2025-01-10 17h01.29.170553 -0500,
1,0,1,0,15.866407399997115,,,,,,,,,,,,15.696186899906024,15.866407399997115,15.866407399997115,18.697720699943602,None,18.698484599939547,18.704454499995336,19.19797369989101,19.197988500003703,19.204008599976078,20.198169099981897,20.39083229994867,,,,903082,999,999,2025-01-10_17h01.24.894,video_presentation,2023.2.3,143.89048215355726,2025-01-10 17h01.29.170553 -0500,
2,0,2,0,20.39083229994867,,,,,,,,,,,,20.19947469991166,20.39083229994867,20.39083229994867,23.20081619999837,None,23.201558299944736,23.207786099985242,23.625138200004585,23.625173599924892,23.63079659990035,24.625161099946126,24.80659900000319,,,,903082,999,999,2025-01-10_17h01.24.894,video_presentation,2023.2.3,143.89048215355726,2025-01-10 17h01.29.170553 -0500,
3,0,3,0,24.80659900000319,,,,,,,,,,,,24.62600259995088,24.80659900000319,24.80659900000319,27.627587399911135,None,27.628081899951212,27.634403699892573,28.635039099957794,28.635056999977678,28.64133149990812,29.635124999913387,29.817086399998516,,,,903082,999,999,2025-01-10_17h01.24.894,video_presentation,2023.2.3,143.89048215355726,2025-01-10 17h01.29.170553 -0500,
4,0,4,0,29.817086399998516,,,,,,,,,,,,29.6359934998909,29.817086399998516,29.817086399998516,32.64108029997442,None,32.64161489997059,32.647806599969044,33.16939909989014,33.169413099996746,33.17527149990201,34.16911589994561,34.17580589989666,,,,903082,999,999,2025-01-10_17h01.24.894,video_presentation,2023.2.3,143.89048215355726,2025-01-10 17h01.29.170553 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.169162899954244,34.17580589989666,44.171386100002564,,,,,,,,,
