trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02387919998727739,0.03707820002455264,0.03707820002455264,1.0350745000177994,t,0.9912194999633357,None,,,,,,,,639720,999,999,2025-01-07_10h29.38.788,video_presentation,2023.2.3,143.82736109988898,2025-01-07 10h29.44.965756 -0500,
,,,,11.526035899994895,,,,,,,,,1.0351160999853164,1.0416506999754347,11.0361583000049,11.03745170001639,11.526035899994895,11.526035899994895,14.038075199990999,,,,,,,,,
