trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation_cross.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation_square.started,rating.stopped,washout.started,washout_fixation_cross.started,washout_fixation_cross.stopped,washout.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.023672900046221912,0.029895400046370924,0.029895400046370924,0.34114020003471524,5,0.30776379990857095,None,,,,,,,,,,,,,,,,477406,999,999,2025-01-10_16h52.14.256,video_presentation,2023.2.3,144.42185045931583,2025-01-10 16h52.18.471715 -0500,
0,0,0,0,10.645455199992284,,,,,,,,,0.3412015000358224,0.3471378000685945,10.341777900001034,10.343298300052993,10.645455199992284,10.645455199992284,13.344429000047967,None,13.348967100027949,13.35211179999169,14.623800400062464,14.623814700054936,14.63018259999808,15.806192900054157,15.62354200007394,477406,999,999,2025-01-10_16h52.14.256,video_presentation,2023.2.3,144.42185045931583,2025-01-10 16h52.18.471715 -0500,
1,0,1,0,15.806192900054157,,,,,,,,,,,,15.624118500039913,15.806192900054157,15.806192900054157,18.630158800049685,None,18.632426299969666,18.636773200007156,19.207364000030793,19.20737930003088,19.213424100074917,20.400113000068814,20.207026100018993,477406,999,999,2025-01-10_16h52.14.256,video_presentation,2023.2.3,144.42185045931583,2025-01-10 16h52.18.471715 -0500,
,,,,20.400113000068814,,,,,,,,,,,,20.207805500016548,20.400113000068814,20.400113000068814,23.211001900024712,None,23.212808500044048,23.221856000018306,23.79922569997143,23.799240699969232,23.805153400055133,,,,,,,,,,,
