trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation.started,rating.stopped,washout.started,fixation.started,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.024428099975921214,0.02982459997292608,0.02982459997292608,2.4945578000042588,t,2.4592300000367686,None,,,,,,,,,,,,,,262747,999,999,2025-01-07_10h46.08.081,video_presentation,2023.2.3,144.12025395628356,2025-01-07 10h46.13.430446 -0500,
,,,,12.895839100005105,,,,,,,,,2.4945965000079013,2.50052359997062,12.495217500021681,12.496635199990124,12.895839100005105,12.895839100005105,15.498565800022334,None,15.50420889997622,15.50750369997695,17.849465299979784,17.849487099971157,17.854983999975957,,,,,,,,,
