index,file,trial,category,onset,duration,rating
0,shark_9.mp4,shark_9,shark,10.0020547999884,3.0019395999843255,
1,snake_16.mp4,snake_16,snake,,,
2,caterpillar_20.mp4,caterpillar_20,caterpillar,,,
3,rat_16.mp4,rat_16,rat,,,
4,fish_20.mp4,fish_20,fish,,,
5,tiger_12.mp4,tiger_12,tiger,,,
6,horse_10.mp4,horse_10,horse,,,
7,horse_5.mp4,horse_5,horse,,,
8,rabbit_12.mp4,rabbit_12,rabbit,,,
9,crocodile_7.mp4,crocodile_7,crocodile,,,
10,dog_4.mp4,dog_4,dog,,,
11,rat_9.mp4,rat_9,rat,,,
12,cat_7.mp4,cat_7,cat,,,
13,dog_11.mp4,dog_11,dog,,,
14,butterfly_13.mp4,butterfly_13,butterfly,,,
15,bird_3.mp4,bird_3,bird,,,
16,cat_19.mp4,cat_19,cat,,,
17,rabbit_5.mp4,rabbit_5,rabbit,,,
18,caterpillar_17.mp4,caterpillar_17,caterpillar,,,
19,beetle_11.mp4,beetle_11,beetle,,,
20,shark_13.mp4,shark_13,shark,,,
21,spider_10.mp4,spider_10,spider,,,
22,snake_15.mp4,snake_15,snake,,,
23,horse_11.mp4,horse_11,horse,,,
24,snake_14.mp4,snake_14,snake,,,
25,wasp_14.mp4,wasp_14,wasp,,,
26,cat_3.mp4,cat_3,cat,,,
27,dog_20.mp4,dog_20,dog,,,
28,millipede_13.mp4,millipede_13,millipede,,,
29,shark_19.mp4,shark_19,shark,,,
30,horse_1.mp4,horse_1,horse,,,
31,bird_10.mp4,bird_10,bird,,,
32,shark_20.mp4,shark_20,shark,,,
33,crocodile_16.mp4,crocodile_16,crocodile,,,
34,bull_4.mp4,bull_4,bull,,,
35,beetle_3.mp4,beetle_3,beetle,,,
36,butterfly_7.mp4,butterfly_7,butterfly,,,
37,caterpillar_4.mp4,caterpillar_4,caterpillar,,,
38,beetle_16.mp4,beetle_16,beetle,,,
39,bull_6.mp4,bull_6,bull,,,
40,millipede_7.mp4,millipede_7,millipede,,,
41,cat_1.mp4,cat_1,cat,,,
42,millipede_6.mp4,millipede_6,millipede,,,
43,horse_2.mp4,horse_2,horse,,,
44,caterpillar_10.mp4,caterpillar_10,caterpillar,,,
45,millipede_2.mp4,millipede_2,millipede,,,
46,beetle_7.mp4,beetle_7,beetle,,,
47,whale_18.mp4,whale_18,whale,,,
