index,file,trial,category,onset,duration,rating
0,butterfly_12.mp4,butterfly_12,butterfly,10.002156100003049,3.0009214999736287,5.0
1,bull_8.mp4,bull_8,bull,16.429766800021753,3.001058599969838,2.0
2,crocodile_6.mp4,crocodile_6,crocodile,21.75192840001546,3.005669299978763,4.0
3,butterfly_18.mp4,butterfly_18,butterfly,26.742271099996287,3.004904599976726,1.0
4,bull_17.mp4,bull_17,bull,31.331900299992412,3.0037419000291266,
5,caterpillar_13.mp4,caterpillar_13,caterpillar,,,
6,butterfly_9.mp4,butterfly_9,butterfly,,,
7,butterfly_2.mp4,butterfly_2,butterfly,,,
8,bird_16.mp4,bird_16,bird,,,
9,beetle_2.mp4,beetle_2,beetle,,,
10,bull_19.mp4,bull_19,bull,,,
11,butterfly_14.mp4,butterfly_14,butterfly,,,
12,butterfly_15.mp4,butterfly_15,butterfly,,,
13,cat_11.mp4,cat_11,cat,,,
14,bull_13.mp4,bull_13,bull,,,
15,crocodile_4.mp4,crocodile_4,crocodile,,,
16,bull_4.mp4,bull_4,bull,,,
17,caterpillar_16.mp4,caterpillar_16,caterpillar,,,
18,crocodile_8.mp4,crocodile_8,crocodile,,,
19,bull_3.mp4,bull_3,bull,,,
20,bull_11.mp4,bull_11,bull,,,
21,crocodile_15.mp4,crocodile_15,crocodile,,,
22,caterpillar_15.mp4,caterpillar_15,caterpillar,,,
23,bull_14.mp4,bull_14,bull,,,
24,crocodile_1.mp4,crocodile_1,crocodile,,,
25,caterpillar_11.mp4,caterpillar_11,caterpillar,,,
26,bull_7.mp4,bull_7,bull,,,
27,bird_12.mp4,bird_12,bird,,,
28,bull_16.mp4,bull_16,bull,,,
29,caterpillar_6.mp4,caterpillar_6,caterpillar,,,
30,dog_11.mp4,dog_11,dog,,,
31,butterfly_4.mp4,butterfly_4,butterfly,,,
32,beetle_19.mp4,beetle_19,beetle,,,
33,beetle_3.mp4,beetle_3,beetle,,,
34,bird_8.mp4,bird_8,bird,,,
35,bull_15.mp4,bull_15,bull,,,
36,crocodile_2.mp4,crocodile_2,crocodile,,,
37,cat_18.mp4,cat_18,cat,,,
38,beetle_8.mp4,beetle_8,beetle,,,
39,butterfly_6.mp4,butterfly_6,butterfly,,,
40,cat_3.mp4,cat_3,cat,,,
41,crocodile_9.mp4,crocodile_9,crocodile,,,
42,bird_15.mp4,bird_15,bird,,,
43,caterpillar_20.mp4,caterpillar_20,caterpillar,,,
44,cat_20.mp4,cat_20,cat,,,
45,cat_2.mp4,cat_2,cat,,,
46,bird_5.mp4,bird_5,bird,,,
47,cat_10.mp4,cat_10,cat,,,
48,dog_13.mp4,dog_13,dog,,,
49,caterpillar_4.mp4,caterpillar_4,caterpillar,,,
50,crocodile_14.mp4,crocodile_14,crocodile,,,
51,caterpillar_18.mp4,caterpillar_18,caterpillar,,,
52,dog_10.mp4,dog_10,dog,,,
53,dog_14.mp4,dog_14,dog,,,
54,bird_7.mp4,bird_7,bird,,,
55,beetle_1.mp4,beetle_1,beetle,,,
56,bird_11.mp4,bird_11,bird,,,
57,bird_3.mp4,bird_3,bird,,,
58,crocodile_19.mp4,crocodile_19,crocodile,,,
59,bird_4.mp4,bird_4,bird,,,
60,beetle_5.mp4,beetle_5,beetle,,,
61,beetle_17.mp4,beetle_17,beetle,,,
62,beetle_10.mp4,beetle_10,beetle,,,
63,bird_2.mp4,bird_2,bird,,,
64,beetle_7.mp4,beetle_7,beetle,,,
65,crocodile_10.mp4,crocodile_10,crocodile,,,
66,dog_16.mp4,dog_16,dog,,,
67,dog_15.mp4,dog_15,dog,,,
68,bird_9.mp4,bird_9,bird,,,
69,bull_12.mp4,bull_12,bull,,,
70,crocodile_17.mp4,crocodile_17,crocodile,,,
71,cat_5.mp4,cat_5,cat,,,
72,bull_1.mp4,bull_1,bull,,,
73,caterpillar_10.mp4,caterpillar_10,caterpillar,,,
74,caterpillar_8.mp4,caterpillar_8,caterpillar,,,
75,beetle_9.mp4,beetle_9,beetle,,,
76,butterfly_13.mp4,butterfly_13,butterfly,,,
77,beetle_18.mp4,beetle_18,beetle,,,
78,cat_6.mp4,cat_6,cat,,,
79,beetle_14.mp4,beetle_14,beetle,,,
80,butterfly_5.mp4,butterfly_5,butterfly,,,
81,crocodile_13.mp4,crocodile_13,crocodile,,,
82,butterfly_7.mp4,butterfly_7,butterfly,,,
83,beetle_15.mp4,beetle_15,beetle,,,
84,cat_7.mp4,cat_7,cat,,,
85,bird_6.mp4,bird_6,bird,,,
86,beetle_16.mp4,beetle_16,beetle,,,
87,beetle_13.mp4,beetle_13,beetle,,,
88,butterfly_3.mp4,butterfly_3,butterfly,,,
89,bull_18.mp4,bull_18,bull,,,
90,beetle_12.mp4,beetle_12,beetle,,,
91,cat_14.mp4,cat_14,cat,,,
92,bull_2.mp4,bull_2,bull,,,
93,beetle_4.mp4,beetle_4,beetle,,,
94,crocodile_5.mp4,crocodile_5,crocodile,,,
95,bird_17.mp4,bird_17,bird,,,
96,caterpillar_19.mp4,caterpillar_19,caterpillar,,,
97,dog_12.mp4,dog_12,dog,,,
98,bird_20.mp4,bird_20,bird,,,
99,caterpillar_17.mp4,caterpillar_17,caterpillar,,,
100,dog_1.mp4,dog_1,dog,,,
101,caterpillar_3.mp4,caterpillar_3,caterpillar,,,
102,crocodile_12.mp4,crocodile_12,crocodile,,,
103,dog_17.mp4,dog_17,dog,,,
