index,file,trial,category,onset,duration,rating
0,dog_17.mp4,dog_17,dog,10.002024699992035,2.9988684999989346,
1,beetle_16.mp4,beetle_16,beetle,,,
2,caterpillar_20.mp4,caterpillar_20,caterpillar,,,
3,bull_20.mp4,bull_20,bull,,,
4,butterfly_3.mp4,butterfly_3,butterfly,,,
5,caterpillar_3.mp4,caterpillar_3,caterpillar,,,
6,bird_20.mp4,bird_20,bird,,,
7,bird_8.mp4,bird_8,bird,,,
8,bird_6.mp4,bird_6,bird,,,
9,caterpillar_13.mp4,caterpillar_13,caterpillar,,,
10,caterpillar_1.mp4,caterpillar_1,caterpillar,,,
11,cat_9.mp4,cat_9,cat,,,
12,bull_4.mp4,bull_4,bull,,,
13,bird_19.mp4,bird_19,bird,,,
14,butterfly_13.mp4,butterfly_13,butterfly,,,
15,beetle_2.mp4,beetle_2,beetle,,,
16,dog_12.mp4,dog_12,dog,,,
17,bird_9.mp4,bird_9,bird,,,
18,cat_19.mp4,cat_19,cat,,,
19,caterpillar_14.mp4,caterpillar_14,caterpillar,,,
20,bird_16.mp4,bird_16,bird,,,
21,caterpillar_9.mp4,caterpillar_9,caterpillar,,,
22,bull_11.mp4,bull_11,bull,,,
23,dog_18.mp4,dog_18,dog,,,
24,bull_15.mp4,bull_15,bull,,,
25,bull_1.mp4,bull_1,bull,,,
26,butterfly_16.mp4,butterfly_16,butterfly,,,
27,caterpillar_10.mp4,caterpillar_10,caterpillar,,,
28,dog_15.mp4,dog_15,dog,,,
29,cat_3.mp4,cat_3,cat,,,
30,caterpillar_11.mp4,caterpillar_11,caterpillar,,,
31,dog_11.mp4,dog_11,dog,,,
32,bull_6.mp4,bull_6,bull,,,
33,bird_5.mp4,bird_5,bird,,,
34,beetle_5.mp4,beetle_5,beetle,,,
35,bull_13.mp4,bull_13,bull,,,
36,butterfly_19.mp4,butterfly_19,butterfly,,,
37,butterfly_6.mp4,butterfly_6,butterfly,,,
38,crocodile_11.mp4,crocodile_11,crocodile,,,
39,butterfly_4.mp4,butterfly_4,butterfly,,,
40,cat_16.mp4,cat_16,cat,,,
41,dog_1.mp4,dog_1,dog,,,
42,beetle_3.mp4,beetle_3,beetle,,,
43,beetle_10.mp4,beetle_10,beetle,,,
44,crocodile_2.mp4,crocodile_2,crocodile,,,
45,butterfly_9.mp4,butterfly_9,butterfly,,,
46,caterpillar_7.mp4,caterpillar_7,caterpillar,,,
47,crocodile_13.mp4,crocodile_13,crocodile,,,
48,beetle_20.mp4,beetle_20,beetle,,,
49,crocodile_16.mp4,crocodile_16,crocodile,,,
50,beetle_1.mp4,beetle_1,beetle,,,
51,crocodile_3.mp4,crocodile_3,crocodile,,,
52,butterfly_1.mp4,butterfly_1,butterfly,,,
53,bird_1.mp4,bird_1,bird,,,
54,butterfly_18.mp4,butterfly_18,butterfly,,,
55,caterpillar_17.mp4,caterpillar_17,caterpillar,,,
56,crocodile_10.mp4,crocodile_10,crocodile,,,
57,dog_13.mp4,dog_13,dog,,,
58,cat_10.mp4,cat_10,cat,,,
59,bull_19.mp4,bull_19,bull,,,
60,cat_7.mp4,cat_7,cat,,,
61,crocodile_6.mp4,crocodile_6,crocodile,,,
62,cat_18.mp4,cat_18,cat,,,
63,bull_9.mp4,bull_9,bull,,,
64,beetle_12.mp4,beetle_12,beetle,,,
65,bull_2.mp4,bull_2,bull,,,
66,cat_6.mp4,cat_6,cat,,,
67,beetle_15.mp4,beetle_15,beetle,,,
68,butterfly_15.mp4,butterfly_15,butterfly,,,
69,beetle_8.mp4,beetle_8,beetle,,,
70,crocodile_17.mp4,crocodile_17,crocodile,,,
71,caterpillar_19.mp4,caterpillar_19,caterpillar,,,
72,butterfly_17.mp4,butterfly_17,butterfly,,,
73,bird_15.mp4,bird_15,bird,,,
74,dog_16.mp4,dog_16,dog,,,
75,bird_14.mp4,bird_14,bird,,,
76,bull_12.mp4,bull_12,bull,,,
77,bull_17.mp4,bull_17,bull,,,
78,crocodile_20.mp4,crocodile_20,crocodile,,,
79,bull_3.mp4,bull_3,bull,,,
80,crocodile_4.mp4,crocodile_4,crocodile,,,
81,butterfly_2.mp4,butterfly_2,butterfly,,,
82,bird_11.mp4,bird_11,bird,,,
83,butterfly_11.mp4,butterfly_11,butterfly,,,
84,butterfly_12.mp4,butterfly_12,butterfly,,,
85,cat_1.mp4,cat_1,cat,,,
86,bird_4.mp4,bird_4,bird,,,
87,crocodile_1.mp4,crocodile_1,crocodile,,,
88,cat_14.mp4,cat_14,cat,,,
89,butterfly_5.mp4,butterfly_5,butterfly,,,
90,caterpillar_6.mp4,caterpillar_6,caterpillar,,,
91,cat_15.mp4,cat_15,cat,,,
92,cat_20.mp4,cat_20,cat,,,
93,beetle_6.mp4,beetle_6,beetle,,,
94,cat_11.mp4,cat_11,cat,,,
95,crocodile_9.mp4,crocodile_9,crocodile,,,
96,bull_14.mp4,bull_14,bull,,,
97,butterfly_10.mp4,butterfly_10,butterfly,,,
98,crocodile_5.mp4,crocodile_5,crocodile,,,
99,beetle_7.mp4,beetle_7,beetle,,,
100,bird_17.mp4,bird_17,bird,,,
101,cat_5.mp4,cat_5,cat,,,
102,bird_13.mp4,bird_13,bird,,,
103,cat_8.mp4,cat_8,cat,,,
104,cat_13.mp4,cat_13,cat,,,
105,beetle_19.mp4,beetle_19,beetle,,,
106,bird_7.mp4,bird_7,bird,,,
107,crocodile_15.mp4,crocodile_15,crocodile,,,
108,bird_2.mp4,bird_2,bird,,,
109,butterfly_7.mp4,butterfly_7,butterfly,,,
110,crocodile_8.mp4,crocodile_8,crocodile,,,
111,crocodile_18.mp4,crocodile_18,crocodile,,,
112,butterfly_20.mp4,butterfly_20,butterfly,,,
113,caterpillar_15.mp4,caterpillar_15,caterpillar,,,
114,caterpillar_12.mp4,caterpillar_12,caterpillar,,,
115,bull_7.mp4,bull_7,bull,,,
116,beetle_11.mp4,beetle_11,beetle,,,
117,caterpillar_16.mp4,caterpillar_16,caterpillar,,,
118,cat_4.mp4,cat_4,cat,,,
119,cat_17.mp4,cat_17,cat,,,
120,beetle_17.mp4,beetle_17,beetle,,,
121,caterpillar_18.mp4,caterpillar_18,caterpillar,,,
122,cat_2.mp4,cat_2,cat,,,
123,beetle_9.mp4,beetle_9,beetle,,,
124,butterfly_14.mp4,butterfly_14,butterfly,,,
125,dog_14.mp4,dog_14,dog,,,
126,crocodile_7.mp4,crocodile_7,crocodile,,,
127,bull_10.mp4,bull_10,bull,,,
128,beetle_4.mp4,beetle_4,beetle,,,
129,bird_10.mp4,bird_10,bird,,,
130,caterpillar_2.mp4,caterpillar_2,caterpillar,,,
131,bull_16.mp4,bull_16,bull,,,
132,bull_18.mp4,bull_18,bull,,,
133,bull_5.mp4,bull_5,bull,,,
134,bull_8.mp4,bull_8,bull,,,
135,crocodile_14.mp4,crocodile_14,crocodile,,,
136,bird_3.mp4,bird_3,bird,,,
137,caterpillar_4.mp4,caterpillar_4,caterpillar,,,
138,beetle_13.mp4,beetle_13,beetle,,,
139,cat_12.mp4,cat_12,cat,,,
140,bird_12.mp4,bird_12,bird,,,
141,dog_10.mp4,dog_10,dog,,,
142,beetle_14.mp4,beetle_14,beetle,,,
143,caterpillar_8.mp4,caterpillar_8,caterpillar,,,
144,caterpillar_5.mp4,caterpillar_5,caterpillar,,,
145,crocodile_19.mp4,crocodile_19,crocodile,,,
146,butterfly_8.mp4,butterfly_8,butterfly,,,
147,bird_18.mp4,bird_18,bird,,,
148,beetle_18.mp4,beetle_18,beetle,,,
149,crocodile_12.mp4,crocodile_12,crocodile,,,
